#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL,GP
138,Jason Myers,K,SEA,10,12,8,3,10,6,12,4,2,BYE,12,6,11,12,9,7,8,8,8.2,140,18
140,Adam Thielen,WR,CAR,7.9,4,13,-,-,-,-,-,-,-,BYE,8.7,23.9,19.2,10.1,15.3,28,9.4,14,139.5,11
141,Matt Gay,K,WAS,-,4,3,9,10,8,12,9,10,8,14,6,5,BYE,8,8,9,16,8.7,139,17
142,Chris Godwin,WR,TB,22.3,24.7,17.3,12.9,11.6,35.5,13.5,-,-,-,BYE,-,-,-,-,-,-,-,19.7,137.8,8
143,Alexander Mattison,RB,MIA,16.2,6.1,13.4,6,10.1,17.5,15.3,9.4,3.6,-,9.9,-,-,-,2.4,15.6,4.8,7.1,9.8,137.4,14
144,Nick Westbrook-Ikhine,WR,MIA,0,0,0,0,-,7.9,9,11.9,16,6.1,19.7,12.8,21.1,2.9,2.9,9.7,6.7,9,8,135.7,17
145,Jalen McMillan,WR,TB,10.2,3.1,1.6,-,-,0,5.6,9.2,-,-,BYE,2.1,4.5,21.9,18.5,16.7,23,19,10.4,135.4,14
146,Joshua Karty,K,LAR,9,4,9,15,1,BYE,2,4,8,19,4,2,3,8,13,8,9,17,7.9,135,18
147,Jerome Ford,RB,CLE,18.9,7.4,10,15.5,7.9,1.4,-,-,1.7,BYE,7.9,3.7,7.2,7.7,18.4,24.1,2.2,-,9.6,134,15
148,Austin Ekeler,RB,WAS,10.2,11.5,13.7,-,11.7,10.8,4,7.8,17.3,18.1,17.6,4.4,-,BYE,-,-,-,5.2,11,132.3,13
149,Romeo Doubs,WR,GB,9,9.2,2.8,7.9,-,19.9,17.4,10.2,6.8,BYE,2.7,8.4,-,-,19,4,14.8,-,10.2,132.1,14
150,Will Levis,QB,TEN,8.7,12.5,15.6,0.5,BYE,8.3,-,-,-,19.1,16.6,17.1,16.2,7,-1.4,-,-,11.8,11,131.9,13
151,Kyle Pitts,TE,ATL,11.6,5,7.9,0,15.8,10,13.5,25.1,2.1,9.5,1.9,BYE,0,2.4,6.8,1.7,14.4,3.5,7.7,131.2,18
152,Will Reichard,K,MIN,4,11,12,7,16,BYE,15,8,3,-,-,-,-,6,15,12,11,11,10.1,131,14
152,Blake Grupe,K,NO,22,8,6,7,1,10,4,8,12,8,5,BYE,10,2,10,0,4,14,7.7,131,18
